+----------+---------------------------------------------------+---------------------------+-----------------+---------------------+-----------------------------------------------------------------------------+----------------------+----------+-------------+-------------------+---------------+
| plant_id |                  scientific_name                  |        common_name        |  plant_family   |     plant_type      |                                sunlight_list                                |        cycle         | watering | maintenance | pruning_frequency | toxic_to_pets |
+----------+---------------------------------------------------+---------------------------+-----------------+---------------------+-----------------------------------------------------------------------------+----------------------+----------+-------------+-------------------+---------------+
|   425    |                 Abutilon hybridum                 |      flowering-maple      |    Malvaceae    | Broadleaf evergreen |                          ["full sun","part shade"]                          |      Perennial       | Frequent |     Low     |                   |       0       |
|   426    |           Abutilon hybridum 'Bella Red'           |      flowering-maple      |    Malvaceae    | Broadleaf evergreen |                          ["full sun","part shade"]                          |      Perennial       | Average  |     Low     |  2 time per year  |       0       |
|   427    |               Abutilon 'Moonchimes'               |      flowering-maple      |    Malvaceae    | Broadleaf evergreen |                          ["full sun","part shade"]                          |      Perennial       | Average  |     Low     |                   |       0       |
|   428    |            Abutilon pictum 'Gold Dust'            |      flowering-maple      |    Malvaceae    | Broadleaf evergreen |                                ["full sun"]                                 |      Perennial       | Average  |  Moderate   |  1 time per year  |       0       |
|   434    |                Acalypha wilkesiana                |       Jacob's coat        |  Euphorbiaceae  | Broadleaf evergreen |                          ["full sun","part shade"]                          |      Perennial       | Frequent |     Low     |  1 time per year  |       0       |
|   502    |                 Achimenes (group)                 |      hot water plant      |  Gesneriaceae   |        Herbs        |                               ["part shade"]                                | Herbaceous Perennial | Average  |  Moderate   |                   |       0       |
|   540    |                  Adenium obesum                   |        desert rose        |   Apocynaceae   | Broadleaf evergreen |                                ["full sun"]                                 |      Perennial       | Minimum  |     Low     |  1 time per year  |       0       |
|   543    |             Adiantum capillus-veneris             |      maidenhair fern      |   Pteridaceae   |        Fern         |                    ["part shade","part sun/part shade"]                     |      Perennial       | Average  |     Low     |                   |       0       |
|   546    |                Adiantum raddianum                 |   delta maidenhair fern   |   Pteridaceae   |        Fern         |                               ["part shade"]                                |      Perennial       | Average  |    High     |                   |       0       |
|   549    |                 Aechmea fasciata                  |         urn plant         |  Bromeliaceae   |      Epiphyte       |                           ["part sun/part shade"]                           |      Perennial       | Average  |  Moderate   |  1 time per year  |       0       |
|   551    |                 Aeonium undulatum                 |      stalked aeonium      |  Crassulaceae   |        Shrub        |                          ["full sun","part shade"]                          | Herbaceous Perennial | Average  |  Moderate   |  1 time per year  |       0       |
|   552    |              Aeschynanthus radicans               |      lipstick plant       |  Gesneriaceae   |        Vine         |                          ["part shade","full sun"]                          |      Perennial       | Average  |     Low     |                   |       0       |
|   625    |               Aglaonema commutatum                |   Philippine evergreen    |     Araceae     |        Shrub        |                         ["part shade","full shade"]                         | Herbaceous Perennial | Average  |     Low     |  2 time per year  |       0       |
|   626    |                Aglaonema 'Cutlass'                |     Chinese evegreen      |     Araceae     |        Shrub        |                         ["part shade","full shade"]                         | Herbaceous Perennial | Average  |     Low     |  2 time per year  |       0       |
|   627    |               Aglaonema 'Red Gold'                |     Chinese evergreen     |     Araceae     |        Shrub        |                    ["part sun/part shade","part shade"]                     | Herbaceous Perennial | Average  |     Low     |                   |       0       |
